user_id,name,email,age,signup_date,last_login,country,city,purchase_amount,category,discount_code,rating,reviews_count,returned,is_free,days_since_signup,days_since_last_login,is_active_user,error_type,user_score
788f3808-bc11-4555-81c0-82de2928ebe9,Ivo Riccardi,pietrobertolucci@example.org,,2023-11-24,,,Pandola,"249,72",,,"1,0",,,False,853,,False,age_invalid,
c8db0ce6-2f8f-4699-8e2a-c3af367f0742,Daria Vanvitelli,rosa95@example.net,,2024-03-04,,,Governolo,"77,61",,,"5,0",,True,False,752,,False,age_invalid,
cddf2e27-d51f-4e6c-85aa-ba3c634a10ca,Beatrice Tencalla,dossettipasquale,,2023-08-19,,IT,San Vincenzo A Torri,"455,25",Tech,FT44,,715,False,False,950,,False,age_invalid;email_invalid;rating_invalid,
bedd5433-0834-44f7-ac07-97c08027a2be,Emma Dibiasi,cleliabrambilla@example.com,,2021-11-11,2023-10-29,IT,Terrasini,"99,88",Fashion,,"3,0",,True,False,1596,"879,0",False,age_invalid,"29,076106725494437"
d5c99441-b19a-4d5f-8261-79e93b7e009a,Anita Volta,avitturi@example.com,,2021-05-12,2024-02-11,IT,Mezzolara,"387,03",Tech,fB81,"4,0",58,True,False,1779,"774,0",False,age_invalid,"55,22103204901971"
5d3c92b8-e538-4614-8152-268a3663557d,Manuel Bodoni,kcastelli@example.org,44,2026-02-19,,,Scanzano,"200,63",,,"4,0",,False,False,35,,False,,
f9e3ce3f-2458-4baf-84e3-185f6cfe894d,Giovanna Canova,ibinaghi@example.net,,2024-08-27,,IT,San Marzano Sul Sarno,"206,86",Fashion,,"5,0",,True,False,576,,False,age_invalid,
f943dc00-a7a6-4f28-b054-2321de00cb85,Sig. Massimiliano Passalacqua,ciprianobruno@example.com,57,2021-10-07,2023-03-13,IT,Fiume Veneto,"471,33",Fashion,Bm54,"5,0",,True,False,1631,"1109,0",False,,"62,77623008731875"
b2abca3d-7cac-4a13-b5d8-4f9aa9d5a762,Jolanda Bixio-Costalonga,nedda22@example.com,,2023-10-27,,IT,Magnago,"126,18",Tech,dh15,"5,0",,False,False,881,,False,age_invalid,
e343a657-90da-4fbd-9986-6266efd1fc7b,Dott. Angelica Casini,muratorimauro@example.org,,2024-12-23,,IT,Sagliano Micca,"269,12",,NK57,"5,0",805,True,False,458,,False,age_invalid,
8eba6226-2936-4dce-8e15-da99c692b1fe,Flavio Ferrucci,flaviascalfaro,,2021-06-22,,IT,Trevi,"286,78",Tech,,"2,0",,False,False,1738,,False,age_invalid;email_invalid,
84cb310f-83fe-48ef-a092-3c7f9957cbba,Gioachino Pozzecco,ranieribonatti@example.com,72,2021-06-24,,IT,Castelfranco Veneto,"497,91",Fashion,,"3,0",,True,False,1736,,False,,
a4d0275f-8990-45ef-8dab-b26ff56255d0,Vittorio Navarria-Sordi,giacintomonduzzi@example.com,,2024-02-09,,IT,Telti,"340,87",Tech,,"4,0",,False,False,776,,False,age_invalid,
f332cc49-62fd-4b0c-b3ec-0519f141778b,Stefania Cagnin,paolettatiepolo,,2022-03-13,,IT,San Maurizio Canavese,"494,12",Tech,,"5,0",,True,False,1474,,False,age_invalid;email_invalid,
e97fb9fc-c8ef-4740-9d32-7131d71c65b0,Piermaria Battisti,etta80@example.com,75,2023-02-15,,IT,Craco,"314,94",Home,,,787,True,False,1135,,False,rating_invalid,
77566bc5-0b04-4a4a-ab5f-a846d0fdf225,Sig.ra Donna Medici,nbova,,2022-11-14,,IT,Mazze,"0,0",Tech,,"5,0",,True,True,1228,,False,age_invalid;email_invalid,
929e2d83-041a-4678-981e-c5b2128fb3ba,Alfio Lombroso,qostinelli,55,2024-08-05,,IT,Cerasi,"346,11",Home,hi05,"5,0",516,False,False,598,,False,email_invalid,
006b73f2-0163-4cfd-b378-47bf52cfccd2,Ubaldo Versace,alderanonicolucci@example.com,,2022-03-21,,IT,Vitignano,"480,0",Tech,,"4,0",319,True,False,1466,,False,age_invalid,
2df91806-3d37-4c49-bf31-01216070abdb,Orazio Travia,giuliano28@example.com,,2023-10-25,,IT,Campertogno,"313,07",Tech,,"3,0",,,False,883,,False,age_invalid,
f8c0d189-c7f7-4c88-bf29-8614a19671a5,Maria Smirnoff,oscurofiamma@example.org,,2025-01-11,,IT,Cuccaro Monferrato,"497,76",Tech,cX80,,,False,False,439,,False,age_invalid;rating_invalid,
